from,to,relation ,year,Eindeutige Knoten
ba_2021,nigr,1,2021,jere
ba_2021,anco,1,2021,leon
ba_2021,dego,1,2021,luca1
ba_2021,dehe,1,2021,markus
ba_2021,esko,1,2021,volk
ba_2021,hake,1,2021,anan
ba_2021,jabi,1,2021,emru
ba_2021,jasieg,1,2021,kisch
ba_2021,kawa,1,2021,mabr
ba_2021,kila,1,2021,vilu
ba_2021,kiha,1,2021,chgr
ba_2021,labu,1,2021,sakl
ba_2021,lino,1,2021,kaiw
ba_2021,mach,1,2021,seme
ba_2021,meli,1,2021,elga
ba_2021,miro,1,2021,svek
ba_2021,migw,1,2021,ilku
ba_2021,naac,1,2021,juli
ba_2021,niro,1,2021,svel
ba_2021,nalo,1,2021,jenn
ba_2021,stde,1,2021,dion
ba_2021,ststa,1,2021,flam
ba_2021,viof,1,2021,anmi
ba,ba_2022,2,2022,wips
ba_2022,dost,1,2022,bisc
ba_2022,anros,1,2022,deko
ba_2022,beot,1,2022,dezu
ba_2022,bola,1,2022,lire
ba_2022,chfr,1,2022,dika
ba_2022,chma,1,2022,ispa
ba_2022,chau,1,2022,lapa
ba_2022,chni,1,2022,lekr
ba_2022,chru,1,2022,navr
ba_2022,clle,1,2022,jera
ba_2022,elsc,1,2022,jeku
ba_2022,emst,1,2022,jesc
ba_2022,frte,1,2022,jeth
ba_2022,gipa,1,2022,jefi
ba_2022,irze,1,2022,juca
ba_2022,jahe,1,2022,miro
ba_2022,jech,1,2022,jebr
ba_2022,jofi,1,2022,rehu
ba_2022,laho,1,2022,vagu
ba_2022,nadl,1,2022,jewe
ba_2022,newu,1,2022,sepr
ba_2022,subo,1,2022,nigr
ba_2022,vape,1,2022,anco
ba_2022,vibo,1,2022,dego
ba_2022,yavo,1,2022,dehe
ba,ba_2023,2,2023,esko
ba_2023,daja,1,2023,hake
ba_2023,alch,1,2023,jabi
ba_2023,anut,1,2023,jasieg
ba_2023,chdu,1,2023,kawa
ba_2023,cosc,1,2023,kila
ba_2023,dali,1,2023,labu
ba_2023,dahe,1,2023,mach
ba_2023,fibl,1,2023,meli
ba_2023,gila,1,2023,migw
ba_2023,heko,1,2023,naac
ba_2023,jani,1,2023,niro
ba_2023,lela,1,2023,nalo
ba_2023,limi,1,2023,stde
ba_2023,liro,1,2023,ststa
ba_2023,marut,1,2023,viof
ba_2023,maschr,1,2023,dost
ba_2023,mabe,1,2023,anros
ba_2023,nevi,1,2023,beot
ba_2023,pagh,1,2023,bola
ba_2023,reri,1,2023,chfr
ba_2023,sask,1,2023,chma
ba_2023,tane,1,2023,chau
ba_2023,xema,1,2023,chni
ba_2023,yola,1,2023,chru
ba,ba_2024,2,2024,clle
ba_2024,sekl,1,2024,elsc
ba_2024,degr,1,2024,emst
ba_2024,anlo,1,2024,frte
ba_2024,anwi,1,2024,gipa
ba_2024,anpo,1,2024,irze
ba_2024,biho,1,2024,jahe
ba_2024,bray,1,2024,jech
ba_2024,evth,1,2024,jofi
ba_2024,faal,1,2024,laho
ba_2024,frth,1,2024,nadl
ba_2024,giwa,1,2024,newu
ba_2024,ina,1,2024,subo
ba_2024,jeko,1,2024,vape
ba_2024,jeba,1,2024,vibo
ba_2024,kage,1,2024,yavo
ba_2024,kiko,1,2024,daja
ba_2024,kihe,1,2024,alch
ba_2024,lasc,1,2024,anut
ba_2024,labo,1,2024,chdu
