from,to,relation ,year,Eindeutige Knoten
eotb_2024,uzga,1,2024,rywo
eotb_2024,jeac,1,2024,shto
eotb_2024,dobe,1,2024,nasc
eotb_2024,abka,1,2024,siho
pro7_sat1,reality_shore,3,0,ella
paramount_plus,germany_shore,3,0,nemi
germany_shore,gs_2021,2,2021,chha
gs_2021,beri,1,2021,stsc
gs_2021,yamo,1,2021,jogu
gs_2021,wado,1,2021,jele
gs_2021,miroc,1,2021,alwi
gs_2021,nihu,1,2021,alwin
gs_2021,jefi,1,2021,naba
gs_2021,embr,1,2021,alsm
gs_2021,nisc,1,2021,pana
gs_2021,jebi,1,2021,edpi
gs_2021,dacr,1,2021,erbe
gs_2021,gial,1,2021,baco
gs_2021,navi,1,2021,mikl
gs_2021,sise,1,2021,jula
gs_2021,anbr,1,2021,uzga
gs_2021,cakl,1,2021,jeac
gs_2021,meha,1,2021,dobe
gs_2021,elmi,1,2021,abka
germany_shore,gs_2022,2,2022,reality_shore
gs_2022,anro,1,2022,beri
gs_2022,beri,1,2022,yamo
gs_2022,albe,1,2022,miroc
gs_2022,hasu,1,2022,nihu
gs_2022,jebi,1,2022,embr
gs_2022,jost,1,2022,nisc
gs_2022,veam,1,2022,jebi
gs_2022,yamo,1,2022,dacr
gs_2022,wado,1,2022,gial
gs_2022,jutk,1,2022,navi
gs_2022,embr,1,2022,sise
gs_2022,emmi,1,2022,anbr
gs_2022,miroc,1,2022,cakl
gs_2022,dafi,1,2022,elmi
gs_2022,peku,1,2022,anro
gs_2022,fapa,1,2022,albe
gs_2022,gewo,1,2022,hasu
gs_2022,malu,1,2022,jost
germany_shore,gs_2023,2,2023,jutk
gs_2023,aqc,1,2023,emmi
gs_2023,boch,1,2023,dafi
gs_2023,jebi,1,2023,malu
gs_2023,jost,1,2023,aqc
gs_2023,jutk,1,2023,boch
gs_2023,maop,1,2023,maop
gs_2023,maeg,1,2023,maeg
gs_2023,misc,1,2023,misc
gs_2023,palj,1,2023,rajs
gs_2023,rajs,1,2023,sefe
gs_2023,sefe,1,2023,nuel
gs_2023,tope,1,2023,marh
gs_2023,wado,1,2023,papa
gs_2023,nuel,1,2023,eito
gs_2023,hasu,1,2023,nahe
gs_2023,jefi,1,2023,meda
gs_2023,marh,1,2023,chmo
